file	line	function	lines	mechanical_triage	method
firmware/app/src/app_anchor.c	325	gateway_operation_owner_claim	8		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor.c	337	gateway_operation_owner_release	25	error_paths;cleanup	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor.c	365	gateway_operation_owner_matches	11		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_click_event_runtime.c	19	operation_id_for_claim	8		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_click_event_runtime.c	30	claim_key_matches	7		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_click_event_runtime.c	41	claim_is_valid	5		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_click_event_runtime.c	48	result_to_errno	14	error_paths	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_click_event_runtime.c	64	runtime_event	15		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_click_event_runtime.c	82	dispatch_event	15	error_paths	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_click_event_runtime.c	100	app_anchor_click_event_runtime_reset	4	cleanup	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_click_event_runtime.c	106	app_anchor_click_event_runtime_claim	52	error_paths;cleanup	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_click_event_runtime.c	163	app_anchor_click_event_runtime_schedule_received	25	error_paths	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_click_event_runtime.c	193	app_anchor_click_event_runtime_handle	9	error_paths	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_click_event_runtime.c	207	app_anchor_click_event_runtime_abort	15		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_click_event_runtime.c	226	app_anchor_click_event_runtime_custody_released	14	error_paths	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_click_event_runtime.c	247	app_anchor_click_event_runtime_state	3		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_click_event_runtime.c	252	app_anchor_click_event_runtime_active	3		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_click_event_runtime.c	257	app_anchor_click_event_runtime_result_owned	4		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_command_completion.c	6	app_anchor_command_completion_next_result_seq	4		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_command_completion.c	12	app_anchor_command_completion_take_terminal_exact	33	error_paths	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	17	anchor_assignment_snapshot_to_durable	28		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	49	anchor_assignment_durable_to_snapshot	34		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	88	anchor_restore_discovery_assignment_ram	7	error_paths	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	98	anchor_save_discovery_assignment_semantic	41	error_paths	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	142	anchor_save_discovery_assignment_retry_ram	7	error_paths	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	152	anchor_clear_discovery_assignment_semantic	15	error_paths	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	169	anchor_restore_discovery_assignment_durable	47	error_paths;cleanup	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	218	anchor_checked_work_reschedule	11	error_paths;cleanup;scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	233	anchor_ram_owner_work_reschedule	17	cleanup;scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	254	anchor_discovery_assignment_required	5		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	261	anchor_append_discovery_assignment_status	23		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	288	anchor_enter_low_power	55	cleanup	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	346	anchor_collection_node_boot_id	11	error_paths	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	359	anchor_next_collection_result_seq	6		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	367	anchor_commit_broadcast_command_replay	16	error_paths	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	388	anchor_commit_pending_collection_command_replay	15		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	405	anchor_submit_command_result	109	error_paths	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	524	anchor_send_command_result	10		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	541	anchor_command_completion_actions	14	error_paths	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	560	anchor_discovery_gateway_hop_count	9		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	575	anchor_discovery_response_delay_ms	15		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	593	anchor_discovery_postpone_for_deeper_route	58	error_paths;scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	654	anchor_discovery_ack_low_duty_retry_delay_ms	26		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	684	anchor_build_discovery_response	60	error_paths;cleanup	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	748	anchor_send_discovery_response	28	error_paths	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	780	anchor_discovery_claim_next_generation	4		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	786	anchor_discovery_claim_snapshot	14		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	803	anchor_discovery_claim_reschedule_locked	59	error_paths;scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	867	anchor_discovery_ack_liveness_work_handler	48	error_paths;cleanup;scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	918	anchor_discovery_ack_refresh_attempt_deadline_locked	18	scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	939	anchor_discovery_terminal_retry_refresh_deadline_locked	22	scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	964	anchor_discovery_claim_ready_for_submit	14		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	982	anchor_discovery_claim_service_failed_abandon	26	error_paths;cleanup	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	1010	anchor_promote_discovery_assignment_locked_impl	125	error_paths;cleanup	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	1139	anchor_promote_discovery_assignment_after_ack_locked	3		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	1145	anchor_commit_discovery_table_locked	72	error_paths;cleanup	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	1227	anchor_promote_discovery_assignment_after_ack	14		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	1244	anchor_discovery_assignment_gateway_accepted	49	error_paths	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	1297	anchor_discovery_assignment_gateway_confirmed	62	error_paths	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	1363	anchor_discovery_response_terminal_matches	21		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	1391	anchor_persist_discovery_assignment_ack_retry_round	34	error_paths;cleanup	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	1429	anchor_discovery_assignment_service_ack_promotion	59	error_paths;cleanup;scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	1496	anchor_retire_superseded_discovery_ack	86	error_paths;cleanup	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	1585	anchor_discovery_claim_work_handler	343	error_paths;cleanup;scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	1930	anchor_settle_ack_before_replacement_assignment	91	error_paths;cleanup	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2024	anchor_clear_committed_assignment_for_new_claim	38	error_paths;cleanup	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2065	anchor_schedule_discovery_response	240	error_paths;cleanup;scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2318	anchor_schedule_discovery_claim	18	scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2341	anchor_start_compact_enumeration_response_lane	81	error_paths;scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2428	anchor_survey_upstream	16	error_paths	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2448	anchor_survey_work_reschedule	7	error_paths;scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2459	anchor_schedule_late_discovery_claim	17	error_paths;scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2482	anchor_resume_pending_discovery_assignment_ack	45	error_paths;cleanup	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2530	anchor_collection_result_clear	3		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2535	anchor_collection_result_start_ram_owner	6		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2543	anchor_collection_result_has_collection_identity	8		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2554	anchor_collection_result_take_terminal	4		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2563	anchor_collection_result_apply_actions	26	error_paths;scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2592	anchor_collection_result_retry	16	error_paths;scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2610	anchor_collection_result_work_handler_locked	150	error_paths;scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2762	anchor_collection_result_work_handler	5		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2769	anchor_schedule_collection_command_result	74	error_paths;cleanup;scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2852	anchor_direct_action_result_matches	15		lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2871	anchor_admit_direct_action_result	55	error_paths;cleanup;scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2934	anchor_reboot_work_handler	25	scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2961	anchor_schedule_reboot_after_command_result	12	error_paths;scheduling	lexical C definition; preprocessor branches not resolved
firmware/app/src/app_anchor_commands.inc	2976	gateway_accept_local_reboot_command	35	error_paths;cleanup;scheduling	lexical C definition; preprocessor branches not resolved
