logging to logs/c5_batch_prototype_20260904/dd-backpressure
BLE monitor connected
attached gateway (E46070D247233537)
attached anchor_a (E4645C15CB365D30)
attached anchor_b (E46070D247394D36)
attached clicker (E4645C15CB0F3B37)
CLICK 1/20 at +5.1s
CLICK 2/20 at +8.8s
CLICK 3/20 at +12.5s
CLICK 4/20 at +16.1s
CLICK 5/20 at +19.8s
CLICK 6/20 at +23.5s
CLICK 7/20 at +27.1s
CLICK 8/20 at +30.8s
CLICK 9/20 at +34.4s
CLICK 10/20 at +38.1s
CLICK 11/20 at +41.7s
CLICK 12/20 at +45.4s
CLICK 13/20 at +49.0s
CLICK 14/20 at +52.7s
CLICK 15/20 at +56.4s
CLICK 16/20 at +60.0s
CLICK 17/20 at +63.7s
CLICK 18/20 at +67.4s
CLICK 19/20 at +71.0s
CLICK 20/20 at +74.7s
done
