key,value
title,"NORMAL CLICK: FOUR ANCHORS GET THREE SAMPLES IN THE 400 MS RANGING BURST"
caption,"Production schedule at the 33 ms exchange stride. Twelve sequential three-frame DS-TWR reservations occupy 396 ms; the round-robin order gives all four selected anchors three opportunities without overlapping the clicker's single DWM3000."
key_point,"Normal-click exchanges end after FINAL because each anchor owns the measurement and retained gateway report. The clicker uses one exchange at a time: A, B, C, D repeated three times, then releases the ranging owner with 4 ms left in the burst."
start,0
end,500
width,4300
unit,ms
axis_caption_width,190
row_label_width,270
max_inline_lines,4
